X,Y,objectid,linea,estacion,sentido,sistema,label,tipo
-75.5909682271929,6.231539564575,103,1,40,A,MPLUS,Parada Rosales (Línea 1),2
-75.59674731746,6.2313303121617,104,1,39,A,MPLUS,Parada Parque Belén (Línea 1),2
-75.6010240531518,6.23110971343892,105,1,38,A,MPLUS,Parada La Palma (Línea 1),2
-75.605166379693,6.23102311540969,106,1,37,A,MPLUS,Parada Los Alpes (Línea 1),2
-75.5701855596614,6.2340834396151,107,2,609,B,MPLUS,Parada Perpetuo Socorro (Línea 2),2
-75.5699022146275,6.24064819849094,108,2,610,B,MPLUS,Parada Barrio Colón (Línea 2),2
-75.5662164528113,6.24716041942109,109,2,611,B,MPLUS,Parada San José (Línea 2),2
-75.5645498334912,6.24966320558938,110,2,612,B,MPLUS,Parada La Playa (Línea 2),2
-75.5625984479004,6.25303817555034,111,2,613,B,MPLUS,Parada Catedral Metropolitana (Línea 2),2
-75.5566589884957,6.28520013191353,112,2,655,A,MPLUS,Parada Parque Aranjuez (Línea 2),2
-75.5529379923762,6.28293199999974,113,2,654,B,MPLUS,Parada Berlin (Línea 2),2
-75.5528702310017,6.28292594064885,114,2,654,A,MPLUS,Parada Berlin (Línea 2),2
-75.5531680218592,6.27839345008202,115,2,653,B,MPLUS,Parada Las Esmeraldas (Línea 2),2
-75.5531259748762,6.27838681481244,116,2,653,A,MPLUS,Parada Las Esmeraldas (Línea 2),2
-75.5540786931648,6.2732574348237,117,2,652,B,MPLUS,Parada Manrique (Línea 2),2
-75.554023550415,6.2732482974965,118,2,652,A,MPLUS,Parada Manrique (Línea 2),2
-75.5550441310294,6.2676677813837,119,2,651,B,MPLUS,Parada Gardel (Línea 2),2
-75.5549907299238,6.26766326443537,120,2,651,A,MPLUS,Parada Gardel (Línea 2),2
-75.5765009985197,6.23049307495195,121,2,714,A,MPLUS,Parada Industriales (Línea 2),2
-75.5820552745229,6.23173679424728,122,2,642,A,MPLUS,Parada Nutibara (Línea 2),2
-75.5820581603717,6.23186520333006,123,2,642,B,MPLUS,Parada Nutibara (Línea 2),2
-75.5865620044948,6.23161421384424,124,2,641,A,MPLUS,Parada Fátima (Línea 2),2
-75.5865641131172,6.23174271667697,125,2,641,B,MPLUS,Parada Fátima (Línea 2),2
-75.5909682271929,6.231539564575,126,2,640,A,MPLUS,Parada Rosales (Línea 2),2
-75.5909700147728,6.23159618898133,127,2,640,B,MPLUS,Parada Rosales (Línea 2),2
-75.59674731746,6.2313303121617,128,2,639,A,MPLUS,Parada Parque Belén (Línea 2),2
-75.5967500068131,6.23139602682631,129,2,639,B,MPLUS,Parada Parque Belén (Línea 2),2
-75.6010240531518,6.23110971343892,130,2,638,A,MPLUS,Parada La Palma (Línea 2),2
-75.6010278756201,6.23117775206084,131,2,638,B,MPLUS,Parada La Palma (Línea 2),2
