"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"03/01/2023","LÍNEA A","11,581 ","28,036 ","38,350 ","32,714 ","20,935 ","18,418 ","17,692 ","19,335 ","21,236 ","21,535 ","28,298 ","30,144 ","43,838 ","58,132 ","41,800 ","25,553 ","18,788 ","14,592 ","8,355 ","2 ","499,334 "
"03/01/2023","LÍNEA B","2,039 ","4,390 ","5,723 ","5,172 ","3,563 ","3,316 ","3,015 ","3,389 ","3,565 ","3,671 ","4,179 ","4,737 ","5,632 ","7,288 ","5,536 ","3,358 ","2,352 ","1,654 ","921 ","3 ","73,503 "
"03/01/2023","LÍNEA H","161.00 ","291.00 ","253.00 ","196.00 ","129 ","109 ","106 ","83 ","107 ","79 ","65 ","70 ","95 ","45 ","43.00 ","55.00 ","28.00 ","13.00 ","","","1,928 "
"03/01/2023","LÍNEA J","912 ","1,567 ","1,654 ","1,378 ","902 ","665 ","588 ","798 ","787 ","601 ","616 ","588 ","545 ","585 ","423 ","364 ","286 ","163 ","38 ","39 ","13,499 "
"03/01/2023","LÍNEA K","1,802 ","2,371 ","2,288 ","1,814 ","1,162 ","980 ","910 ","1,017 ","1,381 ","1,027 ","960 ","1,067 ","1,219 ","1,305 ","598 ","568 ","523 ","231 ","54 ","4 ","21,281 "
"03/01/2023","LÍNEA L","","","","","","165 ","155 ","264 ","470 ","388 ","345 ","395 ","437 ","283 ","","","","","","38 ","2,940 "
"03/01/2023","LÍNEA M","200 ","508 ","577 ","404 ","255 ","197 ","222 ","220 ","270 ","292 ","303 ","435 ","493 ","705 ","877 ","555 ","363 ","281 ","217 ","29 ","7,403 "
"03/01/2023","LÍNEA O","175 ","633 ","907 ","761 ","482 ","373 ","367 ","382 ","367 ","397 ","511 ","517 ","642 ","842 ","608 ","471 ","427 ","407 ","166 ","","9,435 "
"03/01/2023","LÍNEA P","882 ","1,705 ","2,012 ","1,514 ","802 ","576 ","550 ","596 ","748 ","588 ","631 ","666 ","632 ","758 ","539 ","319 ","335 ","174 ","97 ","4 ","14,128 "
"03/01/2023","LÍNEA T-A","858 ","2,158 ","2,875 ","2,520 ","1,787 ","1,574 ","1,494 ","1,540 ","1,814 ","1,829 ","2,090 ","2,548 ","3,013 ","3,598 ","3,404 ","2,328 ","1,704 ","1,209 ","941 ","","39,284 "
"04/01/2023","LÍNEA 1","2,078 ","5,085 ","7,701 ","6,744 ","4,750 ","4,155 ","3,727 ","3,804 ","3,804 ","3,925 ","4,465 ","4,951 ","6,177 ","8,140 ","6,380 ","4,440 ","3,121 ","2,501 ","1,600 ","41 ","87,589 "
"04/01/2023","LÍNEA 2","90 ","539 ","727 ","762 ","775 ","759 ","840 ","901 ","849 ","901 ","1,078 ","1,237 ","1,647 ","1,894 ","1,452 ","991 ","690 ","374 ","169 ","4 ","16,679 "
"04/01/2023","LÍNEA A","11,698 ","28,666 ","40,796 ","34,331 ","22,992 ","21,609 ","20,916 ","22,239 ","22,896 ","23,138 ","29,175 ","30,333 ","45,327 ","62,350 ","46,173 ","29,084 ","21,139 ","16,908 ","10,628 ","","540,398 "
"04/01/2023","LÍNEA B","2,124 ","4,642 ","6,294 ","5,530 ","3,828 ","3,741 ","3,786 ","3,599 ","3,812 ","3,947 ","4,744 ","4,886 ","6,333 ","8,445 ","6,364 ","4,100 ","2,539 ","1,939 ","1,160 ","","81,813 "
