"Día","Línea de Servicio","Hora de operación","","","","","","","","","","","","","","","","","","","",""
"","","4:00","5:00","6:00","7:00","8:00","9:00","10:00","11:00","12:00","13:00","14:00","15:00","16:00","17:00","18:00","19:00","20:00","21:00","22:00","23:00","Total general (Número de pasajeros)"
"13/03/2023","LÍNEA T-A","1,427 ","4,271 ","4,972 ","4,403 ","3,069 ","2,529 ","2,202 ","2,450 ","3,083 ","2,535 ","2,717 ","3,093 ","4,188 ","5,397 ","5,294 ","3,332 ","2,607 ","1,882 ","1,108 ","9 ","60,568 "
"14/03/2023","LÍNEA 1","2,960 ","9,479 ","11,592 ","10,636 ","6,608 ","5,721 ","4,730 ","5,462 ","5,691 ","5,480 ","5,695 ","6,199 ","9,057 ","11,572 ","8,065 ","4,980 ","3,842 ","2,218 ","866 ","21 ","120,874 "
"14/03/2023","LÍNEA 2","200 ","899 ","1,131 ","1,198 ","938 ","992 ","1,116 ","1,166 ","1,228 ","1,112 ","1,294 ","1,403 ","2,060 ","2,324 ","1,781 ","1,150 ","1,016 ","459 ","166 ","19 ","21,652 "
"14/03/2023","LÍNEA A","16,536 ","50,219 ","63,778 ","55,101 ","33,680 ","29,055 ","25,488 ","26,789 ","30,701 ","30,313 ","35,451 ","36,527 ","60,766 ","83,653 ","57,121 ","31,928 ","21,552 ","17,782 ","8,918 ","","715,358 "
"14/03/2023","LÍNEA B","3,093 ","8,679 ","9,678 ","8,841 ","5,607 ","4,952 ","4,094 ","4,396 ","5,475 ","4,694 ","4,989 ","5,247 ","7,721 ","11,104 ","7,497 ","4,202 ","3,612 ","2,636 ","1,195 ","8 ","107,720 "
"14/03/2023","LÍNEA H","240 ","601 ","449 ","292 ","160 ","128 ","127 ","149 ","121 ","85 ","67 ","69 ","83 ","63 ","38 ","43 ","31 ","12 ","10 ","1 ","2,769 "
"14/03/2023","LÍNEA J","1,446 ","2,400 ","2,343 ","2,208 ","1,308 ","946 ","799 ","891 ","913 ","622 ","486 ","488 ","704 ","628 ","351 ","296 ","271 ","133 ","24 ","39 ","17,296 "
"14/03/2023","LÍNEA K","2,443 ","2,884 ","2,699 ","2,264 ","1,682 ","1,360 ","1,164 ","1,206 ","1,492 ","1,101 ","665 ","792 ","1,030 ","1,120 ","729 ","487 ","535 ","270 ","80 ","9 ","24,012 "
"14/03/2023","LÍNEA L","","","","","","74 ","126 ","129 ","184 ","193 ","151 ","144 ","108 ","100 ","","","","","","1 ","1,210 "
"14/03/2023","LÍNEA M","366 ","948 ","942 ","632 ","376 ","336 ","338 ","331 ","394 ","338 ","369 ","452 ","681 ","922 ","1,009 ","997 ","349 ","358 ","316 ","","10,454 "
"14/03/2023","LÍNEA O","281.00 ","1,631.00 ","1,741.00 ","1,795.00 ","1,082.00 ","1,230 ","902 ","1,182 ","1,035 ","1,129 ","963 ","1,231 ","1,394 ","1,581 ","1,480 ","1,104.00 ","813.00 ","997.00 ","252.00 ","","21,823 "
"14/03/2023","LÍNEA P","1,411 ","3,399 ","3,202 ","2,299 ","1,263 ","891 ","744 ","1,118 ","1,494 ","843 ","534 ","646 ","955 ","1,467 ","718 ","442 ","580 ","587 ","107 ","40 ","22,740 "
"14/03/2023","LÍNEA T-A","1,421 ","4,788 ","5,157 ","4,961 ","3,123 ","2,819 ","2,296 ","2,849 ","3,313 ","2,965 ","2,850 ","3,398 ","4,413 ","5,427 ","4,937 ","3,574 ","1,959 ","2,159 ","1,155 ","6 ","63,570 "
"15/03/2023","LÍNEA 1","3,093 ","9,319 ","11,496 ","10,789 ","6,741 ","5,687 ","4,744 ","5,333 ","5,621 ","5,727 ","5,745 ","6,367 ","8,810 ","11,547 ","8,374 ","5,368 ","3,048 ","2,209 ","953 ","44 ","121,015 "
"15/03/2023","LÍNEA 2","201 ","888 ","1,135 ","1,191 ","1,024 ","1,028 ","1,015 ","1,078 ","1,220 ","1,099 ","1,259 ","1,382 ","1,985 ","2,098 ","1,877 ","1,342 ","829 ","459 ","155 ","35 ","21,300 "
"15/03/2023","LÍNEA A","16,720 ","49,613 ","64,394 ","54,988 ","33,352 ","29,253 ","25,088 ","26,791 ","30,358 ","30,462 ","33,789 ","37,249 ","60,609 ","83,233 ","61,583 ","34,498 ","22,852 ","18,561 ","9,887 ","","723,280 "
"15/03/2023","LÍNEA B","3,155 ","8,639 ","9,675 ","8,877 ","5,457 ","4,913 ","4,069 ","4,539 ","5,260 ","4,926 ","4,876 ","5,318 ","7,821 ","10,864 ","7,842 ","4,509 ","3,985 ","4,848 ","1,652 ","6 ","111,231 "
"15/03/2023","LÍNEA H","217 ","572 ","482 ","293 ","146 ","133 ","133 ","155 ","140 ","81 ","54 ","58 ","93 ","67 ","61 ","37 ","33 ","14 ","2 ","4 ","2,775 "
"15/03/2023","LÍNEA J","1,456 ","2,486 ","2,424 ","2,188 ","1,362 ","942 ","780 ","850 ","932 ","674 ","508 ","460 ","675 ","652 ","452 ","325 ","255 ","125 ","42 ","49 ","17,637 "
"15/03/2023","LÍNEA K","2,417 ","2,765 ","2,754 ","2,387 ","1,693 ","1,327 ","1,082 ","1,251 ","1,427 ","1,137 ","769 ","836 ","1,016 ","991 ","708 ","498 ","518 ","289 ","100 ","8 ","23,973 "
"15/03/2023","LÍNEA L","","","","","","138 ","112 ","131 ","200 ","156 ","153 ","100 ","91 ","100 ","","","","","","7 ","1,188 "
"15/03/2023","LÍNEA M","387 ","886 ","967 ","622 ","377 ","309 ","262 ","334 ","442 ","309 ","326 ","469 ","649 ","847 ","1,053 ","963 ","567 ","380 ","287 ","","10,436 "
"15/03/2023","LÍNEA O","259.00 ","1,534.00 ","1,699.00 ","1,741.00 ","1,056 ","1,328 ","883 ","1,193 ","1,034 ","1,252 ","976 ","999 ","1,370 ","1,490 ","1,142.00 ","755.00 ","702.00 ","857.00 ","309.00 ","","20,579 "
"15/03/2023","LÍNEA P","1,389 ","3,397 ","3,256 ","2,319 ","1,281 ","877 ","817 ","1,260 ","1,397 ","843 ","614 ","677 ","945 ","1,427 ","801 ","467 ","595 ","564 ","132 ","31 ","23,089 "
"15/03/2023","LÍNEA T-A","1,414 ","4,217 ","5,248 ","4,928 ","3,128 ","2,745 ","2,365 ","2,736 ","3,531 ","2,856 ","2,847 ","3,373 ","4,225 ","5,443 ","5,218 ","3,642 ","2,695 ","2,237 ","1,266 ","5 ","64,119 "
"16/03/2023","LÍNEA 1","3,012 ","9,220 ","11,290 ","10,591 ","6,623 ","6,153 ","4,851 ","5,386 ","5,616 ","5,611 ","5,639 ","5,738 ","9,181 ","11,563 ","8,313 ","5,528 ","3,182 ","2,720 ","1,639 ","45 ","121,901 "
"16/03/2023","LÍNEA 2","183 ","926 ","1,105 ","1,121 ","974 ","982 ","1,071 ","119 ","752 ","1,045 ","1,278 ","1,349 ","2,128 ","2,319 ","1,925 ","1,313 ","1,023 ","577 ","224 ","47 ","20,461 "
"16/03/2023","LÍNEA A","16,382 ","49,784 ","63,477 ","54,016 ","33,407 ","29,686 ","26,114 ","28,114 ","31,622 ","29,225 ","35,058 ","36,690.00 ","62,105 ","81,570 ","59,027 ","37,334 ","23,719 ","18,371 ","9,784 ","","725,485 "
"16/03/2023","LÍNEA B","3,200 ","8,372 ","9,589 ","8,586 ","5,621 ","5,027 ","4,263 ","4,732 ","4,965 ","4,718 ","4,916 ","5,370 ","7,822 ","11,350 ","8,030 ","4,652 ","3,796 ","2,810 ","1,393 ","18 ","109,230 "
"16/03/2023","LÍNEA H","235 ","601 ","466 ","289 ","165 ","125 ","134 ","159 ","114 ","98 ","78 ","70 ","90 ","58 ","40 ","30 ","31 ","14 ","5 ","1 ","2,803 "
"16/03/2023","LÍNEA J","1,396 ","2,528 ","2,346 ","1,964 ","1,414 ","1,028 ","886 ","836 ","876 ","683 ","637 ","561 ","612 ","711 ","444 ","347 ","249 ","144 ","38 ","56 ","17,756 "
"16/03/2023","LÍNEA K","2,438 ","2,825 ","2,686 ","2,228 ","1,696 ","1,473 ","1,130 ","1,180 ","1,415 ","1,054 ","993 ","801 ","1,191 ","927 ","681 ","590 ","555 ","276 ","97 ","11 ","24,247 "
"16/03/2023","LÍNEA L","","","","","11 ","77 ","99 ","132 ","192 ","187 ","169 ","34 ","202 ","116 ","3 ","","","","","","1,222 "
"16/03/2023","LÍNEA M","372 ","912 ","913 ","682 ","433 ","358 ","338 ","345 ","385 ","314 ","406 ","473 ","615 ","985 ","955 ","964 ","477 ","194 ","279 ","","10,400 "
"16/03/2023","LÍNEA O","266.00 ","1,566.00 ","1,690.00 ","1,860.00 ","1,033 ","1,255 ","926 ","1,049 ","1,075 ","999 ","965 ","1,109 ","1,321 ","1,618 ","1,145.00 ","1,041.00 ","936.00 ","948.00 ","304.00 ","","21,106 "
"16/03/2023","LÍNEA P","1,367 ","3,315 ","3,217 ","2,255 ","1,302 ","1,056 ","845 ","1,231 ","1,221 ","801 ","685 ","782 ","919 ","1,256 ","869 ","498 ","580 ","556 ","128 ","62 ","22,945 "
"16/03/2023","LÍNEA T-A","1,430 ","4,660 ","4,962 ","4,870 ","3,205 ","2,899 ","2,609 ","2,397 ","3,317 ","2,861 ","2,806 ","3,560 ","4,345 ","5,801 ","4,937 ","3,844 ","2,358 ","1,010 ","1,265 ","2 ","63,138 "
"17/03/2023","LÍNEA 1","2,958 ","8,886 ","11,227 ","10,502 ","6,602 ","5,670 ","4,899 ","5,367 ","5,723 ","5,574 ","6,339 ","7,339 ","9,153 ","10,610 ","7,914 ","5,164 ","3,689 ","2,558 ","1,263 ","52 ","121,489 "
"17/03/2023","LÍNEA 2","201 ","890 ","1,091 ","1,165 ","992 ","1,000 ","1,054 ","1,137 ","1,202 ","1,061 ","1,272 ","1,664 ","2,093 ","2,097 ","1,807 ","1,288 ","951 ","562 ","224 ","46 ","21,797 "
"17/03/2023","LÍNEA A","16,286 ","48,126 ","62,086 ","53,566 ","32,819 ","29,379 ","25,880 ","26,988 ","31,281 ","31,104 ","37,534 ","44,778 ","63,348 ","79,176 ","56,405 ","34,974 ","23,291 ","19,819 ","12,236 ","","729,076 "
"17/03/2023","LÍNEA B","3,158 ","8,235 ","9,335 ","8,378 ","5,456 ","4,915 ","4,484 ","4,548 ","5,297 ","5,114 ","5,428 ","6,531 ","8,058 ","10,618 ","7,085 ","4,497 ","3,824 ","2,877 ","1,749 ","14 ","109,601 "
"17/03/2023","LÍNEA H","214 ","584 ","473 ","285 ","174 ","141 ","125 ","101 ","131 ","98 ","79 ","70 ","108 ","58 ","37 ","29 ","45 ","22 ","7 ","","2,781 "
"17/03/2023","LÍNEA J","1,477 ","2,466 ","2,286 ","2,072 ","1,376 ","1,022 ","923 ","884 ","932 ","808 ","700 ","693 ","769 ","682 ","476 ","389 ","301 ","183 ","83 ","110 ","18,632 "
"17/03/2023","LÍNEA K","2,513 ","2,820 ","2,726 ","2,555 ","1,820 ","1,424 ","1,229 ","1,306 ","1,623 ","1,303 ","1,019 ","1,105 ","1,202 ","1,200 ","731 ","649 ","617 ","368 ","144 ","40 ","26,394 "
"17/03/2023","LÍNEA L","","","","","4 ","104 ","113 ","182 ","145 ","145 ","174 ","149 ","144 ","128 ","","","","","","1 ","1,289 "
"17/03/2023","LÍNEA M","391 ","862 ","911 ","650 ","418 ","330 ","310 ","314 ","372 ","364 ","418 ","462 ","750 ","903 ","1,093 ","885 ","511 ","425 ","338 ","1 ","10,708 "
"17/03/2023","LÍNEA O","291.00 ","1,576.00 ","1,479.00 ","1,852.00 ","1,051.00 ","1,287 ","830 ","1,052 ","949 ","992 ","878 ","1,076 ","1,275 ","1,541 ","1,152.00 ","931.00 ","785.00 ","823.00 ","358.00 ","","20,178 "
"17/03/2023","LÍNEA P","1,327 ","3,270 ","3,116 ","2,248 ","1,298 ","945 ","794 ","1,398 ","1,413 ","899 ","775 ","807 ","1,009 ","1,341 ","769 ","640 ","626 ","528 ","174 ","87 ","23,464 "
"17/03/2023","LÍNEA T-A","1,423 ","4,585 ","4,883 ","4,620 ","3,172 ","2,705 ","2,405 ","2,734 ","3,272 ","2,847 ","2,985 ","3,740 ","4,331 ","5,364 ","4,838 ","3,621 ","2,645 ","2,245 ","1,541 ","13 ","63,969 "
"18/03/2023","LÍNEA 1","2,263 ","4,848 ","6,437 ","7,383 ","5,079 ","4,651 ","3,947 ","4,335 ","6,556 ","6,303 ","6,179 ","5,548 ","5,183 ","4,599 ","4,364 ","3,147 ","2,704 ","2,406 ","1,497 ","78 ","87,507 "
"18/03/2023","LÍNEA 2","133 ","540 ","685 ","826 ","679 ","715 ","737 ","978 ","1,335 ","1,343 ","1,320 ","1,268 ","1,248 ","1,096 ","1,132 ","731 ","567 ","403 ","225 ","56 ","16,017 "
"18/03/2023","LÍNEA A","12,199 ","27,989 ","35,409 ","35,628 ","25,183 ","23,371 ","22,638 ","27,161 ","41,650 ","43,882 ","44,027 ","37,420 ","35,319 ","32,276 ","29,697 ","21,681 ","16,303 ","15,807 ","9,362 ","","537,002 "
"18/03/2023","LÍNEA B","2,373 ","4,986 ","5,431 ","5,758 ","4,209 ","4,076 ","3,995 ","4,413 ","6,310 ","6,801 ","6,259 ","5,671 ","5,407 ","4,934 ","4,344 ","3,046 ","2,571 ","2,053 ","1,206 ","23 ","83,866 "
"18/03/2023","LÍNEA H","172 ","337 ","365 ","268 ","171 ","128 ","115 ","128 ","134 ","88 ","115 ","98 ","91 ","75 ","63 ","47 ","58 ","34 ","15 ","","2,502 "
"18/03/2023","LÍNEA J","1,021 ","1,699 ","1,905 ","1,714 ","1,261 ","997 ","784 ","918 ","998 ","776 ","680 ","722 ","735 ","620 ","637 ","331 ","399 ","311 ","145 ","89 ","16,742 "
"18/03/2023","LÍNEA K","1,941 ","2,594 ","2,637 ","2,247 ","1,559 ","1,371 ","1,220 ","1,209 ","1,368 ","1,246 ","1,117 ","1,356 ","1,270 ","1,128 ","793 ","683 ","699 ","494 ","221 ","23 ","25,176 "
"18/03/2023","LÍNEA L","","","","","2 ","182 ","138 ","239 ","283 ","261 ","270 ","283 ","251 ","220 ","","","","","","","2,129 "
"18/03/2023","LÍNEA M","266 ","577 ","671 ","536 ","382 ","281 ","313 ","332 ","456 ","623 ","636 ","691 ","617 ","563 ","599 ","474 ","411 ","385 ","307 ","2 ","9,122 "
"18/03/2023","LÍNEA O","212.00 ","775.00 ","924.00 ","1,227.00 ","700 ","827 ","657 ","763 ","852 ","899 ","758 ","660 ","653 ","749 ","697 ","497.00 ","567.00 ","605.00 ","264.00 ","","13,286 "
"18/03/2023","LÍNEA P","956 ","1,910 ","1,913 ","1,745 ","1,083 ","916 ","853 ","877 ","1,012 ","861 ","804 ","809 ","771 ","697 ","660 ","422 ","470 ","354 ","193 ","66 ","17,372 "
"18/03/2023","LÍNEA T-A","1,039 ","2,647 ","3,344 ","3,796 ","2,573 ","2,300 ","2,288 ","2,573 ","3,395 ","3,537 ","3,579 ","3,579 ","3,189 ","2,978 ","2,995 ","2,226 ","1,880 ","1,667 ","1,261 ","7 ","50,853 "
"19/03/2023","LÍNEA 1","451 ","1,636 ","1,849 ","2,153 ","1,995 ","2,455 ","2,942 ","2,887 ","2,961 ","3,101 ","3,233 ","2,967 ","2,993 ","3,078 ","3,007 ","2,526 ","1,795 ","1,123 ","157 ","74 ","43,383 "
"19/03/2023","LÍNEA 2","23 ","199 ","225 ","279 ","239 ","338 ","522 ","401 ","528 ","702 ","559 ","486 ","508 ","485 ","508 ","435 ","245 ","177 ","18 ","62 ","6,939 "
"19/03/2023","LÍNEA A","3,627 ","10,276 ","11,956 ","11,402 ","11,275 ","12,638 ","14,897 ","14,994 ","16,285 ","18,275 ","19,644 ","18,896 ","19,813 ","20,434 ","19,866 ","16,082 ","14,517 ","11,157 ","1,198 ","","267,232 "
"19/03/2023","LÍNEA B","670 ","1,639 ","1,864 ","2,002 ","2,172 ","2,773 ","3,000 ","2,818 ","3,118 ","3,672 ","3,674 ","3,350 ","3,580 ","3,871 ","3,455 ","2,746 ","2,045 ","2,400 ","1,571 ","9 ","50,429 "
"19/03/2023","LÍNEA H","","","","","2 ","111 ","129 ","95 ","112 ","96 ","70 ","86 ","82 ","101 ","92 ","85 ","62 ","17 ","7 ","1 ","1,148 "
"19/03/2023","LÍNEA J","","","","","11 ","953 ","878 ","751 ","716 ","682 ","774 ","732 ","771 ","810 ","544 ","531 ","409 ","265 ","6 ","","8,833 "
"19/03/2023","LÍNEA K","","","","","588 ","1,068 ","1,291 ","1,191 ","1,238 ","1,344 ","1,346 ","1,373 ","1,609 ","1,756 ","1,049 ","771 ","617 ","428 ","31 ","","15,700 "
"19/03/2023","LÍNEA L","","","","","86 ","315 ","450 ","667 ","702 ","655 ","632 ","683 ","719 ","588 ","","","","","","","5,497 "
"19/03/2023","LÍNEA M","","","","","11 ","300 ","282 ","309 ","379 ","377 ","421 ","424 ","397 ","432 ","477 ","429 ","360 ","322 ","167 ","","5,087 "
"19/03/2023","LÍNEA O","16.00 ","296.00 ","271.00 ","268.00 ","255 ","297 ","393 ","381 ","316 ","350 ","480 ","370 ","440 ","444 ","384.00 ","370.00 ","417.00 ","289.00 ","49.00 ","","6,086 "
"19/03/2023","LÍNEA P","","","","","26 ","845 ","708 ","739 ","739 ","709 ","807 ","730 ","688 ","660 ","500 ","504 ","467 ","313 ","31 ","","8,466 "
"19/03/2023","LÍNEA T-A","184 ","771 ","952 ","1,066 ","1,056 ","1,476 ","1,610 ","1,600 ","1,768 ","1,891 ","2,006 ","1,862 ","1,977 ","1,900 ","2,088 ","1,664 ","1,564 ","1,374 ","464 ","","27,273 "
"20/03/2023","LÍNEA 1","503 ","1,731 ","1,861 ","1,812 ","1,641 ","1,924 ","2,199 ","2,254 ","2,220 ","2,463 ","2,945 ","2,793 ","3,029 ","3,190 ","3,032 ","2,597 ","2,104 ","1,115 ","118 ","","39,531 "
"20/03/2023","LÍNEA 2","23.00 ","187.00 ","230.00 ","255.00 ","181.00 ","277 ","307 ","272 ","341 ","357 ","379 ","422 ","433 ","471 ","518 ","445 ","260 ","141 ","23 ","","5,522 "
"20/03/2023","LÍNEA A","3,758.00 ","10,565.00 ","11,581 ","9,926 ","8,883 ","9,742 ","11,443 ","12,274 ","13,301 ","14,486 ","17,981 ","17,994 ","19,522 ","21,038 ","20,263 ","16,611 ","14,889 ","10,719 ","827 ","","245,803 "
"20/03/2023","LÍNEA B","752 ","1,669 ","1,908 ","1,716 ","1,648 ","1,867 ","2,159 ","2,286 ","2,497 ","2,858 ","2,948 ","2,815 ","3,225 ","3,466 ","3,022 ","2,408 ","1,973 ","1,422 ","153 ","","40,792 "
"20/03/2023","LÍNEA H","","","","","3 ","77 ","101 ","105 ","75 ","85 ","75 ","76 ","97 ","95 ","92 ","82 ","55 ","28 ","1 ","","1,047 "
"20/03/2023","LÍNEA J","","","","","","805 ","646 ","678 ","593 ","618 ","656 ","717 ","756 ","712 ","669 ","548 ","399 ","177 ","4 ","","7,978 "
"20/03/2023","LÍNEA K","","","","","484 ","869 ","975 ","995 ","1,064 ","1,014 ","1,155 ","1,276 ","1,438 ","1,503 ","1,041 ","822 ","680 ","347 ","28 ","","13,691 "
"20/03/2023","LÍNEA L","","","","","95 ","217 ","363 ","464 ","502 ","410 ","508 ","433 ","535 ","435 ","","","","","","","3,962 "
"20/03/2023","LÍNEA M","","","","","10 ","210 ","267 ","281 ","271 ","296 ","318 ","446 ","414 ","445 ","471 ","463 ","364 ","268 ","124 ","","4,648 "
"20/03/2023","LÍNEA O","20.00 ","322.00 ","283.00 ","249.00 ","227 ","222 ","310 ","323 ","277 ","346 ","342 ","397 ","376 ","439 ","465 ","443.00 ","429.00 ","332.00 ","40.00 ","","5,842 "
"20/03/2023","LÍNEA P","","","","","44 ","623 ","540 ","574 ","672 ","663 ","673 ","659 ","736 ","693 ","639 ","584 ","458 ","248 ","8 ","","7,814 "
"20/03/2023","LÍNEA T-A","199 ","751 ","938 ","849 ","792 ","993 ","1,228 ","1,318 ","1,342 ","1,562 ","1,686 ","1,825 ","1,855 ","1,918 ","2,023 ","1,803 ","1,592 ","1,257 ","241 ","","24,172 "
"21/03/2023","LÍNEA 1","3,130 ","9,258 ","11,451 ","10,951 ","6,989 ","5,951 ","4,720 ","5,460 ","5,751 ","5,756 ","6,056 ","6,267 ","8,932 ","11,590 ","8,496 ","5,165 ","3,653 ","2,637 ","1,341 ","","123,554 "
"21/03/2023","LÍNEA 2","185.00 ","967.00 ","1,166.00 ","1,251.00 ","993.00 ","1,071 ","1,196 ","1,196 ","1,328 ","1,177 ","1,355 ","1,549 ","2,077 ","2,225 ","2,030 ","1,337 ","1,056 ","553 ","219 ","","22,931 "
"21/03/2023","LÍNEA A","17,093.00 ","51,328.00 ","64,584.00 ","55,683.00 ","34,380 ","30,324 ","26,466 ","27,436 ","31,332 ","30,555 ","35,802 ","38,230 ","60,008 ","84,685 ","62,118 ","33,804 ","22,232 ","18,019 ","8,979 ","","733,058 "
"21/03/2023","LÍNEA B","3,448 ","8,612 ","9,780 ","8,846 ","5,672 ","5,098 ","4,239 ","4,454 ","5,393 ","4,785 ","5,069 ","5,627 ","8,000 ","11,144 ","7,991 ","4,468 ","3,596 ","2,576 ","1,120 ","","109,918 "
"21/03/2023","LÍNEA H","291.00 ","593.00 ","495.00 ","311.00 ","151 ","126 ","139 ","167 ","151 ","88 ","61 ","67 ","66 ","88 ","26 ","32 ","41 ","17 ","5 ","","2,915 "
"21/03/2023","LÍNEA J","1,474 ","2,562 ","2,297 ","2,223 ","1,460 ","986 ","776 ","826 ","937 ","692 ","563 ","559 ","688 ","742 ","443 ","311 ","269 ","135 ","37 ","22 ","18,002 "
"21/03/2023","LÍNEA K","2,481 ","2,829 ","2,629 ","2,390 ","1,757 ","1,422 ","1,212 ","1,311 ","1,311 ","1,010 ","750 ","821 ","938 ","1,008 ","660 ","483 ","495 ","273 ","85 ","6 ","23,871 "
"21/03/2023","LÍNEA M","392 ","923 ","920 ","664 ","380 ","347 ","267 ","342 ","416 ","296 ","341 ","544 ","616 ","898 ","1,126 ","952 ","545 ","325 ","328 ","1 ","10,623 "
"21/03/2023","LÍNEA O","243 ","1,557 ","1,662 ","1,763 ","1,159 ","1,171 ","927 ","1,076 ","1,160 ","1,152 ","897 ","1,119 ","1,496 ","1,747 ","1,380 ","1,091 ","901 ","932 ","224 ","","21,657 "
"21/03/2023","LÍNEA P","1,463 ","3,409 ","3,164 ","2,194 ","1,276 ","978 ","714 ","1,146 ","1,313 ","824 ","731 ","704 ","866 ","1,333 ","899 ","472 ","595 ","617 ","132 ","47 ","22,877 "
"21/03/2023","LÍNEA T-A","1,530 ","4,648 ","5,087 ","4,957 ","3,098 ","2,996 ","2,387 ","2,927 ","3,371 ","2,831 ","2,953 ","3,383 ","4,375 ","5,600 ","5,219 ","3,778 ","2,722 ","2,139 ","1,153 ","2 ","65,156 "
"22/03/2023","LÍNEA 1","3,044 ","9,310 ","11,757 ","10,757 ","6,645 ","5,918 ","4,617 ","5,410 ","5,573 ","5,493 ","5,876 ","6,599 ","9,075 ","11,730 ","8,151 ","5,135 ","3,846 ","2,847 ","1,384 ","44 ","123,211 "
"22/03/2023","LÍNEA 2","193 ","947 ","1,131 ","1,177 ","959 ","1,032 ","1,072 ","1,283 ","1,243 ","1,100 ","1,348 ","1,674 ","1,990 ","2,224 ","1,827 ","1,233 ","1,030 ","564 ","200 ","47 ","22,274 "
"22/03/2023","LÍNEA A","16,699 ","50,916 ","63,972 ","55,166 ","34,171 ","29,927 ","25,289 ","26,941 ","30,358 ","29,691 ","35,342 ","38,058 ","59,835 ","84,667 ","59,109 ","33,489 ","22,988 ","18,370 ","8,783 ","","723,771 "
"22/03/2023","LÍNEA B","3,297 ","8,620 ","9,741 ","8,795 ","5,536 ","4,954 ","4,025 ","4,481 ","5,450 ","4,873 ","5,169 ","5,592 ","8,197 ","11,103 ","7,013 ","4,859 ","3,806 ","2,661 ","1,156 ","6 ","109,334 "
"22/03/2023","LÍNEA H","247 ","598 ","508 ","299 ","148 ","114 ","116 ","146 ","148 ","84 ","62 ","73 ","59 ","68 ","41 ","23 ","31 ","18 ","3 ","","2,786 "
"22/03/2023","LÍNEA J","1,474 ","2,482 ","2,316 ","2,077 ","1,359 ","993 ","788 ","848 ","906 ","655 ","542 ","593 ","713 ","693 ","386 ","274 ","269 ","94 ","35 ","53 ","17,550 "
"22/03/2023","LÍNEA K","2,467 ","2,857 ","2,697 ","2,214 ","1,704 ","1,261 ","1,183 ","1,167 ","1,513 ","965 ","854 ","848 ","1,138 ","1,082 ","626 ","443 ","496 ","256 ","74 ","15 ","23,860 "
"22/03/2023","LÍNEA L","","","","","13 ","84 ","123 ","165 ","180 ","163 ","154 ","127 ","136 ","122 ","","","","","","1 ","1,268 "
"22/03/2023","LÍNEA M","391 ","940 ","966 ","635 ","401 ","303 ","289 ","320 ","451 ","319 ","326 ","501 ","688 ","888 ","1,169 ","915 ","457 ","334 ","312 ","","10,605 "
"22/03/2023","LÍNEA O","230.00 ","1,573.00 ","1,750.00 ","1,942.00 ","1,017 ","1,245 ","870 ","1,146 ","1,168 ","1,035 ","1,026 ","1,189 ","1,364 ","1,790 ","909.00 ","948.00 ","932.00 ","1,004.00 ","273.00 ","","21,411 "
"22/03/2023","LÍNEA P","1,416 ","3,365 ","3,261 ","2,233 ","1,255 ","937 ","831 ","1,255 ","1,387 ","820 ","642 ","698 ","956 ","1,435 ","717 ","433 ","607 ","563 ","97 ","114 ","23,022 "
"22/03/2023","LÍNEA T-A","1,478 ","4,701 ","5,262 ","4,754 ","3,266 ","2,878 ","2,434 ","2,739 ","3,569 ","2,942 ","2,979 ","3,335 ","4,361 ","5,574 ","5,307 ","3,992 ","2,666 ","2,203 ","1,146 ","3 ","65,589 "
"23/03/2023","LÍNEA 1","3,058 ","9,323 ","11,465 ","10,679 ","6,650 ","5,804 ","4,726 ","5,330 ","5,552 ","5,448 ","5,619 ","6,537 ","9,029 ","11,234 ","8,354 ","5,464 ","3,725 ","2,747 ","1,074 ","71 ","121,889 "
"23/03/2023","LÍNEA 2","190 ","936 ","1,149 ","1,186 ","998 ","1,029 ","1,075 ","1,216 ","1,265 ","1,111 ","1,283 ","1,454 ","2,123 ","2,172 ","1,922 ","1,275 ","976 ","512 ","192 ","85 ","22,149 "
"23/03/2023","LÍNEA A","16,419 ","49,914 ","62,636 ","53,969 ","34,156 ","29,284 ","25,060 ","26,442 ","30,274 ","29,335 ","34,328 ","37,657 ","61,332 ","82,237 ","58,975 ","33,555 ","22,864 ","17,820 ","9,694 ","","715,951 "
"23/03/2023","LÍNEA B","3,294 ","8,609 ","9,593 ","8,626 ","5,458 ","4,924 ","4,074 ","4,433 ","5,194 ","4,698 ","4,723 ","5,695 ","7,967 ","10,798 ","7,897 ","4,504 ","3,742 ","3,001 ","1,288 ","7 ","108,525 "
"23/03/2023","LÍNEA H","254 ","591 ","451 ","255 ","167 ","112 ","111 ","194 ","108 ","115 ","56 ","80 ","90 ","59 ","38 ","38 ","30 ","14 ","7 ","2 ","2,772 "
"23/03/2023","LÍNEA J","1,394 ","2,342 ","2,343 ","1,977 ","1,327 ","1,002 ","788 ","796 ","872 ","686 ","548 ","554 ","685 ","591 ","460 ","289 ","241 ","122 ","37 ","49 ","17,103 "
"23/03/2023","LÍNEA K","2,504 ","2,790 ","2,669 ","2,321 ","1,740 ","1,315 ","1,175 ","1,216 ","1,457 ","1,099 ","788 ","935 ","1,103 ","1,057 ","743 ","484 ","526 ","297 ","93 ","4 ","24,316 "
"23/03/2023","LÍNEA L","","","","","","67 ","137 ","159 ","156 ","169 ","138 ","142 ","97 ","125 ","","","","","","","1,190 "
